postcode,lat,long
3000,-37.817403,144.956776
3001,-37.817403,144.956776
3002,-37.818517,144.982207
3003,-37.810871,144.949592
3004,-37.841764,144.97210733333333
3005,-37.824608,144.950858
3006,-37.824272375,144.9590002
3008,-37.814719,144.948039
3010,-37.796152,144.961351
3011,-37.807101,144.907953
3012,-37.807135,144.861162
3013,-37.814183,144.888686
3015,-37.838242,144.880556
3016,-37.863743,144.888461
3018,-37.86172,144.812736
3019,-37.784683,144.854014
3020,-37.777204,144.829945
3021,-37.743361,144.796693
3022,-37.795937,144.793961
3023,-37.775501074285714,144.76850042857146
3024,-37.86340348,144.58016486000002
3025,-37.835562,144.839704
3026,-37.8730815,144.708538
3027,-37.90894537333333,144.7504365
3028,-37.875066,144.777165
3029,-37.837165,144.705831
3030,-37.91624,144.64209
3031,-37.79119,144.923403
3032,-37.774486,144.897221
3033,-37.74107,144.857638
3034,-37.761235,144.86194
3036,-37.705324,144.82246
3037,-37.715579,144.780474
3038,-37.700454,144.766873
3039,-37.766184,144.922995
3040,-37.751845,144.902556
3041,-37.730284545,144.903887225
3042,-37.73047175,144.87122875
3043,-37.691916,144.888368
3044,-37.731138,144.936356
3045,-37.674739,144.836195
3046,-37.706578,144.927968
3047,-37.681105,144.930247
3048,-37.653917,144.923609
3049,-37.673182,144.888492
3050,-37.800324,144.954581
3051,-37.8006,144.943559
3052,-37.788996,144.948903
3053,-37.803569,144.966112
3054,-37.786971,144.96724
3055,-37.763584,144.942222
3056,-37.766292,144.960108
3057,-37.770752,144.97830000000002
3058,-37.739901,144.964524
3059,-37.639887,144.879626
3060,-37.707326,144.967874
3061,-37.666265,144.956763
3062,-37.632986,144.932557
3063,-37.595015,144.856082
3064,-37.546522,144.942199
3065,-37.802608,144.977795
3066,-37.804846,144.986906
3067,-37.803515,144.998203
3068,-37.790974,144.98622
3070,-37.774064,144.999745
3071,-37.759426,145.007006
3072,-37.74247,145.005702
3073,-37.712474,145.005955
3074,-37.684684,145.006644
3075,-37.66607,145.002679
3076,-37.643598,145.022137
3078,-37.778298,145.025853
3079,-37.772675,145.048573
3081,-37.743008,145.046401
3082,-37.664858,145.065658
3083,-37.701346,145.056223
3084,-37.744406,145.082685
3085,-37.724398,145.06988
3086,-37.721328,145.047012
3087,-37.711787,145.082426
3088,-37.69750603,145.113624275
3089,-37.667713,145.150369
3090,-37.668408,145.107802
3091,-37.637478,145.136688
3093,-37.73919,145.115208
3094,-37.719759,145.124727
3095,-37.713299,145.158579
3096,-37.670851,145.185826
3097,-37.695254,145.224204
3099,-37.592101,145.192854
3101,-37.807397,145.036575
3102,-37.793805,145.05219
